2f120621-2337-485c-b3c7-391436873d3c;2022-11-09T07:02:00Z;291.93;291.93;291.93;291.93;1;
2f120621-2337-485c-b3c7-391436873d3c;2022-11-09T07:10:00Z;291.99;291.99;291.99;291.99;1;
2f120621-2337-485c-b3c7-391436873d3c;2022-11-09T07:36:00Z;291.62;291.62;291.62;291.62;1;
2f120621-2337-485c-b3c7-391436873d3c;2022-11-09T08:02:00Z;292.5;292.5;292.5;292.5;2;
2f120621-2337-485c-b3c7-391436873d3c;2022-11-09T08:52:00Z;292.08;292.08;292.08;292.08;1;
2f120621-2337-485c-b3c7-391436873d3c;2022-11-09T09:00:00Z;292.58;292.58;292.58;292.58;1;
2f120621-2337-485c-b3c7-391436873d3c;2022-11-09T09:02:00Z;292.58;292.58;292.58;292.58;1;
2f120621-2337-485c-b3c7-391436873d3c;2022-11-09T09:15:00Z;292.58;292.58;292.58;292.58;1;
2f120621-2337-485c-b3c7-391436873d3c;2022-11-09T11:50:00Z;290.92;290.92;290.92;290.92;2;
2f120621-2337-485c-b3c7-391436873d3c;2022-11-09T12:35:00Z;290.71;290.71;290.71;290.71;3;
2f120621-2337-485c-b3c7-391436873d3c;2022-11-09T12:37:00Z;290.52;290;290.67;290;399;
2f120621-2337-485c-b3c7-391436873d3c;2022-11-09T12:40:00Z;289.2;289.2;289.2;289.2;5;
2f120621-2337-485c-b3c7-391436873d3c;2022-11-09T12:49:00Z;289.24;289.13;289.24;289.13;4;
2f120621-2337-485c-b3c7-391436873d3c;2022-11-09T12:53:00Z;289.36;289.36;289.36;289.36;9;
2f120621-2337-485c-b3c7-391436873d3c;2022-11-09T13:01:00Z;289.42;288.23;289.42;288.23;150;
2f120621-2337-485c-b3c7-391436873d3c;2022-11-09T13:04:00Z;290.36;290.38;290.39;290.36;80;
2f120621-2337-485c-b3c7-391436873d3c;2022-11-09T13:16:00Z;288.78;288.78;288.78;288.78;1;
2f120621-2337-485c-b3c7-391436873d3c;2022-11-09T13:31:00Z;290.12;290.29;290.29;290.12;31;
2f120621-2337-485c-b3c7-391436873d3c;2022-11-09T13:45:00Z;290.38;290.93;291.2;290.38;55;
2f120621-2337-485c-b3c7-391436873d3c;2022-11-09T13:56:00Z;291.03;291.03;291.03;291.03;30;
2f120621-2337-485c-b3c7-391436873d3c;2022-11-09T13:57:00Z;291.03;291.03;291.03;291.03;4;
2f120621-2337-485c-b3c7-391436873d3c;2022-11-09T14:16:00Z;291.21;291.21;291.21;291.21;22;
2f120621-2337-485c-b3c7-391436873d3c;2022-11-09T14:22:00Z;291.98;291.3;291.98;291.3;23;
2f120621-2337-485c-b3c7-391436873d3c;2022-11-09T14:25:00Z;290.14;289.18;290.16;289.18;443;
2f120621-2337-485c-b3c7-391436873d3c;2022-11-09T14:27:00Z;288.39;287.86;289.06;287.86;515;
2f120621-2337-485c-b3c7-391436873d3c;2022-11-09T14:30:00Z;289.77;292.19;292.68;289.77;59406;
2f120621-2337-485c-b3c7-391436873d3c;2022-11-09T14:31:00Z;292.54;292.32;292.63;291.66;1934;
2f120621-2337-485c-b3c7-391436873d3c;2022-11-09T14:32:00Z;292;291.13;292.22;290.86;3798;
2f120621-2337-485c-b3c7-391436873d3c;2022-11-09T14:33:00Z;291.25;291.75;291.75;291.25;1202;
2f120621-2337-485c-b3c7-391436873d3c;2022-11-09T14:34:00Z;291.87;293.05;293.13;291.85;5366;
2f120621-2337-485c-b3c7-391436873d3c;2022-11-09T14:35:00Z;293.42;293.98;294.03;293.26;3643;
2f120621-2337-485c-b3c7-391436873d3c;2022-11-09T14:36:00Z;294.03;294.04;294.28;293.88;2068;
2f120621-2337-485c-b3c7-391436873d3c;2022-11-09T14:37:00Z;293.81;293.37;294.11;293.37;1940;
2f120621-2337-485c-b3c7-391436873d3c;2022-11-09T14:38:00Z;293.34;293.34;293.61;293.02;1945;
2f120621-2337-485c-b3c7-391436873d3c;2022-11-09T14:39:00Z;293.47;293.24;293.58;293.07;2577;
2f120621-2337-485c-b3c7-391436873d3c;2022-11-09T14:40:00Z;293.3;293.09;293.54;293.08;2950;
2f120621-2337-485c-b3c7-391436873d3c;2022-11-09T14:41:00Z;293.35;293.68;293.89;293.35;1690;
2f120621-2337-485c-b3c7-391436873d3c;2022-11-09T14:42:00Z;293.68;293.88;293.88;293.28;3339;
2f120621-2337-485c-b3c7-391436873d3c;2022-11-09T14:43:00Z;293.8;293.76;294.35;293.63;3163;
2f120621-2337-485c-b3c7-391436873d3c;2022-11-09T14:44:00Z;293.65;293.47;293.92;293.47;2149;
2f120621-2337-485c-b3c7-391436873d3c;2022-11-09T14:45:00Z;293.56;293.36;293.72;293.21;3173;
2f120621-2337-485c-b3c7-391436873d3c;2022-11-09T14:46:00Z;293.14;293.59;293.62;292.96;2838;
2f120621-2337-485c-b3c7-391436873d3c;2022-11-09T14:47:00Z;293.68;293.95;293.95;293.68;921;
2f120621-2337-485c-b3c7-391436873d3c;2022-11-09T14:48:00Z;293.95;294.15;294.26;293.95;2350;
2f120621-2337-485c-b3c7-391436873d3c;2022-11-09T14:49:00Z;294.23;294.18;294.44;294.18;1541;
2f120621-2337-485c-b3c7-391436873d3c;2022-11-09T14:50:00Z;294.36;293.8;294.46;293.8;2857;
2f120621-2337-485c-b3c7-391436873d3c;2022-11-09T14:51:00Z;293.69;293.66;293.79;293.54;3309;
2f120621-2337-485c-b3c7-391436873d3c;2022-11-09T14:52:00Z;293.66;294.06;294.11;293.49;3666;
2f120621-2337-485c-b3c7-391436873d3c;2022-11-09T14:53:00Z;294.1;294.06;294.26;293.92;634;
2f120621-2337-485c-b3c7-391436873d3c;2022-11-09T14:54:00Z;294.27;294.65;294.65;294.12;2329;
2f120621-2337-485c-b3c7-391436873d3c;2022-11-09T14:55:00Z;294.69;294.2;294.84;294.2;4363;
2f120621-2337-485c-b3c7-391436873d3c;2022-11-09T14:56:00Z;294.23;293.98;294.38;293.98;1474;
2f120621-2337-485c-b3c7-391436873d3c;2022-11-09T14:57:00Z;293.96;294;294.29;293.86;4739;
2f120621-2337-485c-b3c7-391436873d3c;2022-11-09T14:58:00Z;294.01;294.4;294.41;293.79;3159;
2f120621-2337-485c-b3c7-391436873d3c;2022-11-09T14:59:00Z;294.18;293.95;294.24;293.95;2485;
2f120621-2337-485c-b3c7-391436873d3c;2022-11-09T15:00:00Z;293.89;294.28;294.28;293.82;2239;
2f120621-2337-485c-b3c7-391436873d3c;2022-11-09T15:01:00Z;294.22;293.98;294.55;293.98;4095;
2f120621-2337-485c-b3c7-391436873d3c;2022-11-09T15:02:00Z;293.9;293.9;294.08;293.81;2360;
2f120621-2337-485c-b3c7-391436873d3c;2022-11-09T15:03:00Z;293.92;293.8;294.03;293.54;3504;
2f120621-2337-485c-b3c7-391436873d3c;2022-11-09T15:04:00Z;293.76;293.86;293.91;293.62;1957;
2f120621-2337-485c-b3c7-391436873d3c;2022-11-09T15:05:00Z;293.85;294.03;294.1;293.83;3047;
2f120621-2337-485c-b3c7-391436873d3c;2022-11-09T15:06:00Z;294.04;293.87;294.22;293.76;2078;
2f120621-2337-485c-b3c7-391436873d3c;2022-11-09T15:07:00Z;293.95;294.43;294.57;293.95;1764;
2f120621-2337-485c-b3c7-391436873d3c;2022-11-09T15:08:00Z;294.49;294.32;294.55;294.27;1456;
